FILE                   : ETCPOT
STATUS                 : 880610
CONTENTS OF THE FILE   : TIDAL POTENTIAL DEVELOPMENTS FROM DOODSON 1921,
                         CARTWRIGHT-TAYLER-EDDEN 1973, TAMURA 1987.

REFERENCE              : WENZEL,H.-G. 1976: ZUR GENAUIGKEIT VON GRAVIMETRISCHEN
                         ERDEGEZEITENBEOBACHTUNGEN. WISSENSCHAFTLICHE ARBEITEN
                         DER LEHRSTUEHLE FUER GEODAESIE, PHOTOGRAMMETRIE UND
                         KARTOGRAPHIE AN DER TECHNISCHEN UNIVERSITAET HANNOVER
                         NR. 67, VI...XV, HANNOVER 1976.

                         DOODSON, A.T. 1921: THE HARMONIC DEVELOPMENT OF THE
                         TIDE GENERATING POTENTIAL. PROCEEDINGS OF THE ROYAL
                         SOCIETY, SERIES A100, 306-328, LONDON 1921. REPRINT
                         IN INTERNATIONAL HYDROGRAPHIC REVUE VOL.31 NO.1,
                         MONACO 1954.

                         CARTWRIGHT, D.E. AND R.J. TAYLER 1971: NEW COMPUTA-
                         TIONS OF TIDE GENERATING POTENTIAL. THE GEOPHYSICAL
                         JOURNAL, VOL. 23 NO. 1, OXFORD 1971.

                         CARTWRIGHT, D.E. AND A.C. EDDEN 1973: CORRECTED TABLES
                         OF TIDAL HARMONICS. THE GEOPHYSICAL JOURNAL, VOL. 33,
                         NO. 3, OXFORD 1973.

                         CHOJNICKI, T. 1973: EIN VERFAHREN ZUR ERDGEZEITENANA-
                         LYSE IN ANLEHNUNG AN DAS PRINZIP DER KLEINSTEN QUA-
                         DRATE. MITTEILUNGEN AUS DEM INSTITUT FUER THEORETISCHE
                         GEODAESIE DER UNIVERSITAET BONN NR. 15, BONN 1973.

                         TAMURA, Y. 1987: A HARMONIC DEVELOPMENT OF THE TIDE
                         GENERATING POTENTIAL. BULLETIN D'INFORMATIONS
                         MAREES TERRESTRES NO. 99, BRUXELLES 1987.

WAVE  000 DO 2 173.765  1 2-2 2 1 0 2 .00000 .00000 .00000      .00089
OF THE DOODSON TIDAL POTENTIAL DEVELOPMENT HAS NOT BEEN USED BECAUSE IT
IS OBVIOUSLY WRONG.

DESCRIPTION OF THE FILE CONTENTS:

COLUMN   1... 4: WAVE NUMBER OF TAMURA 1987 TIDAL POTENTIAL DEVELOPMENT.
COLUMN   5... 8: WAVE NUMBER OF CARTWRIGHT-TAYLER-EDDEN 1973 TIDAL POTENTIAL
                 DEVELOPMENT.
COLUMN   9...10: DEGREE OF THE POTENTIAL.
COLUMN  11...12: ORDER  OF THE POTENTIAL (= ARGUMENT NO. 1).
COLUMN  13...14: ARGUMENT NO. 2.
COLUMN  15...16: ARGUMENT NO. 3.
COLUMN  17...18: ARGUMENT NO. 4.
COLUMN  19...20: ARGUMENT NO. 5.
COLUMN  21...22: ARGUMENT NO. 6.
COLUMN  23...24: ARGUMENT NO. 7 (ONLY VALID FOR TAMURA 1987 POTENTIAL)
COLUMN  25...26: ARGUMENT NO. 8 (ONLY VALID FOR TAMURA 1987 POTENTIAL)
COLUMN  27...28: PHASE NUMBER NP, NP*PI/2 IS BE ADDED TO PHASE.
COLUMN  29...35: CARTWRIGHT-TAYLER-EDDEN AMPLITUDE FOR EPOCH 1870.
COLUMN  36...49: CARTWRIGHT-TAYLER-EDDEN AMPLITUDE FOR EPOCH 1960.
COLUMN  43...49: CARTWRIGHT-TAYLER-EDDEN AMPLITUDE FOR EPOCH 1960.
COLUMN  50...54: DARWIN NAME OF THE WAVE.
COLUMN  55...61: DOODSON AMPLITUDE REFERRING TO EPOCH 1900.
COLUMN  62...69: TAMURA  AMPLITUDE REFERRING TO EPOCH 2000.
COLUMN  70...78: TAMURA  TIME DERIVATIVE OF AMPLITUDE PER JULIAN CENTURY.

                              CARTWRIGHT-TAYLER-EDDEN  DOODSON TAMURA
